S0,K,T,r,sigma,price
50,50,0.1,0.05,0.2,0.96334356
50,55,0.1,0.05,0.2,-0.13816172
50,60,0.1,0.05,0.2,-0.2059527
50,65,0.1,0.05,0.2,-0.25722986
50,70,0.1,0.05,0.2,-0.2859202
50,75,0.1,0.05,0.2,-0.30153757
50,80,0.1,0.05,0.2,-0.31970316
50,85,0.1,0.05,0.2,-0.31947237
50,90,0.1,0.05,0.2,-0.30511767
50,95,0.1,0.05,0.2,-0.29883868
50,100,0.1,0.05,0.2,-0.30028445
50,105,0.1,0.05,0.2,-0.26841074
50,110,0.1,0.05,0.2,-0.2411204
50,115,0.1,0.05,0.2,-0.20936495
50,120,0.1,0.05,0.2,-0.19430453
50,125,0.1,0.05,0.2,-0.22238451
50,130,0.1,0.05,0.2,-0.2576838
50,135,0.1,0.05,0.2,-0.29863268
50,140,0.1,0.05,0.2,-0.3426333
50,145,0.1,0.05,0.2,-0.39153773
50,150,0.1,0.05,0.2,-0.44889933
55,50,0.1,0.05,0.2,4.765277
55,55,0.1,0.05,0.2,1.1278905
55,60,0.1,0.05,0.2,-0.056414668
55,65,0.1,0.05,0.2,-0.119158804
55,70,0.1,0.05,0.2,-0.17294031
55,75,0.1,0.05,0.2,-0.20426852
55,80,0.1,0.05,0.2,-0.22478968
55,85,0.1,0.05,0.2,-0.24339968
55,90,0.1,0.05,0.2,-0.22959238
55,95,0.1,0.05,0.2,-0.2155028
55,100,0.1,0.05,0.2,-0.21829325
55,105,0.1,0.05,0.2,-0.20396143
55,110,0.1,0.05,0.2,-0.16731173
55,115,0.1,0.05,0.2,-0.1429587
55,120,0.1,0.05,0.2,-0.13955599
55,125,0.1,0.05,0.2,-0.14628702
55,130,0.1,0.05,0.2,-0.17388636
55,135,0.1,0.05,0.2,-0.20704752
55,140,0.1,0.05,0.2,-0.24410158
55,145,0.1,0.05,0.2,-0.28647906
55,150,0.1,0.05,0.2,-0.33787447
60,50,0.1,0.05,0.2,9.712207
60,55,0.1,0.05,0.2,4.9112825
60,60,0.1,0.05,0.2,1.2691678
60,65,0.1,0.05,0.2,0.024531301
60,70,0.1,0.05,0.2,-0.058409754
60,75,0.1,0.05,0.2,-0.09401041
60,80,0.1,0.05,0.2,-0.13085276
60,85,0.1,0.05,0.2,-0.157363
60,90,0.1,0.05,0.2,-0.15785891
60,95,0.1,0.05,0.2,-0.14983279
60,100,0.1,0.05,0.2,-0.14431483
60,105,0.1,0.05,0.2,-0.15420824
60,110,0.1,0.05,0.2,-0.123171866
60,115,0.1,0.05,0.2,-0.10870272
60,120,0.1,0.05,0.2,-0.1073733
60,125,0.1,0.05,0.2,-0.1032992
60,130,0.1,0.05,0.2,-0.122878134
60,135,0.1,0.05,0.2,-0.1439963
60,140,0.1,0.05,0.2,-0.1742621
60,145,0.1,0.05,0.2,-0.20720392
60,150,0.1,0.05,0.2,-0.24575335
65,50,0.1,0.05,0.2,14.699945
65,55,0.1,0.05,0.2,9.869512
65,60,0.1,0.05,0.2,5.0408125
65,65,0.1,0.05,0.2,1.4786366
65,70,0.1,0.05,0.2,0.1338529
65,75,0.1,0.05,0.2,-0.014807764
65,80,0.1,0.05,0.2,-0.049410883
65,85,0.1,0.05,0.2,-0.06946856
65,90,0.1,0.05,0.2,-0.095915854
65,95,0.1,0.05,0.2,-0.0968886
65,100,0.1,0.05,0.2,-0.095620215
65,105,0.1,0.05,0.2,-0.101641715
65,110,0.1,0.05,0.2,-0.099259436
65,115,0.1,0.05,0.2,-0.089196265
65,120,0.1,0.05,0.2,-0.08391291
65,125,0.1,0.05,0.2,-0.077570975
65,130,0.1,0.05,0.2,-0.086138785
65,135,0.1,0.05,0.2,-0.109929144
65,140,0.1,0.05,0.2,-0.13230425
65,145,0.1,0.05,0.2,-0.1567412
65,150,0.1,0.05,0.2,-0.18700701
70,50,0.1,0.05,0.2,19.673033
70,55,0.1,0.05,0.2,14.871189
70,60,0.1,0.05,0.2,10.025551
70,65,0.1,0.05,0.2,5.15672
70,70,0.1,0.05,0.2,1.6894692
70,75,0.1,0.05,0.2,0.2863378
70,80,0.1,0.05,0.2,0.02976888
70,85,0.1,0.05,0.2,-0.021542612
70,90,0.1,0.05,0.2,-0.06009013
70,95,0.1,0.05,0.2,-0.053418223
70,100,0.1,0.05,0.2,-0.052378718
70,105,0.1,0.05,0.2,-0.053105418
70,110,0.1,0.05,0.2,-0.08050066
70,115,0.1,0.05,0.2,-0.072333395
70,120,0.1,0.05,0.2,-0.0663653
70,125,0.1,0.05,0.2,-0.0583697
70,130,0.1,0.05,0.2,-0.052346293
70,135,0.1,0.05,0.2,-0.07266146
70,140,0.1,0.05,0.2,-0.096461356
70,145,0.1,0.05,0.2,-0.12026316
70,150,0.1,0.05,0.2,-0.14206606
75,50,0.1,0.05,0.2,24.685843
75,55,0.1,0.05,0.2,19.824215
75,60,0.1,0.05,0.2,15.020876
75,65,0.1,0.05,0.2,10.132768
75,70,0.1,0.05,0.2,5.281657
75,75,0.1,0.05,0.2,1.8859509
75,80,0.1,0.05,0.2,0.42576307
75,85,0.1,0.05,0.2,0.042687353
75,90,0.1,0.05,0.2,-0.017439906
75,95,0.1,0.05,0.2,-0.046504084
75,100,0.1,0.05,0.2,-0.03316981
75,105,0.1,0.05,0.2,-0.021195475
75,110,0.1,0.05,0.2,-0.039992396
75,115,0.1,0.05,0.2,-0.062014643
75,120,0.1,0.05,0.2,-0.05060679
75,125,0.1,0.05,0.2,-0.045666758
75,130,0.1,0.05,0.2,-0.035517756
75,135,0.1,0.05,0.2,-0.036883418
75,140,0.1,0.05,0.2,-0.0603419
75,145,0.1,0.05,0.2,-0.083800375
75,150,0.1,0.05,0.2,-0.10726076
80,50,0.1,0.05,0.2,29.630085
80,55,0.1,0.05,0.2,24.800137
80,60,0.1,0.05,0.2,19.957407
80,65,0.1,0.05,0.2,15.112536
80,70,0.1,0.05,0.2,10.211829
80,75,0.1,0.05,0.2,5.4363184
80,80,0.1,0.05,0.2,2.0908403
80,85,0.1,0.05,0.2,0.5584535
